model,threshold,f1,f2,precision,recall,false_positive_rate,false_negative_rate,tp,fp,fn,tn
Model A: YOLO + CLIP,0,0.2222222222,0.4166666667,0.125,1,1,0,200,1400,0,0
Model A: YOLO + CLIP,0.01,0.6338028169,0.7705479452,0.4891304348,0.9,0.1342857143,0.1,180,188,20,1212
Model A: YOLO + CLIP,0.02,0.6885880077,0.7967770815,0.5615141956,0.89,0.09928571429,0.11,178,139,22,1261
Model A: YOLO + CLIP,0.03,0.7113821138,0.8012820513,0.5993150685,0.875,0.08357142857,0.125,175,117,25,1283
Model A: YOLO + CLIP,0.04,0.7280334728,0.8070500928,0.6258992806,0.87,0.07428571429,0.13,174,104,26,1296
Model A: YOLO + CLIP,0.05,0.7467811159,0.8161350844,0.6541353383,0.87,0.06571428571,0.13,174,92,26,1308
Model A: YOLO + CLIP,0.06,0.7527352298,0.8136234626,0.6692607004,0.86,0.06071428571,0.14,172,85,28,1315
Model A: YOLO + CLIP,0.07,0.7644444444,0.819047619,0.688,0.86,0.05571428571,0.14,172,78,28,1322
Model A: YOLO + CLIP,0.08,0.7730337079,0.8229665072,0.7020408163,0.86,0.05214285714,0.14,172,73,28,1327
Model A: YOLO + CLIP,0.09,0.7808219178,0.823699422,0.718487395,0.855,0.04785714286,0.145,171,67,29,1333
Model A: YOLO + CLIP,0.1,0.7880184332,0.8268858801,0.7307692308,0.855,0.045,0.145,171,63,29,1337
Model A: YOLO + CLIP,0.11,0.7943925234,0.826848249,0.7456140351,0.85,0.04142857143,0.15,170,58,30,1342
Model A: YOLO + CLIP,0.12,0.7971698113,0.8251953125,0.7544642857,0.845,0.03928571429,0.155,169,55,31,1345
Model A: YOLO + CLIP,0.13,0.8066825776,0.8292443572,0.7716894977,0.845,0.03571428571,0.155,169,50,31,1350
Model A: YOLO + CLIP,0.14,0.8144578313,0.8325123153,0.7860465116,0.845,0.03285714286,0.155,169,46,31,1354
Model A: YOLO + CLIP,0.15,0.818627451,0.8283730159,0.8028846154,0.835,0.02928571429,0.165,167,41,33,1359
Model A: YOLO + CLIP,0.16,0.8157248157,0.8242303873,0.8019323671,0.83,0.02928571429,0.17,166,41,34,1359
Model A: YOLO + CLIP,0.17,0.8148148148,0.8208955224,0.8048780488,0.825,0.02857142857,0.175,165,40,35,1360
Model A: YOLO + CLIP,0.18,0.815920398,0.8183632735,0.8118811881,0.82,0.02714285714,0.18,164,38,36,1362
Model A: YOLO + CLIP,0.19,0.815,0.815,0.815,0.815,0.02642857143,0.185,163,37,37,1363
Model A: YOLO + CLIP,0.2,0.8181818182,0.813253012,0.8265306122,0.81,0.02428571429,0.19,162,34,38,1366
Model A: YOLO + CLIP,0.21,0.8181818182,0.813253012,0.8265306122,0.81,0.02428571429,0.19,162,34,38,1366
Model A: YOLO + CLIP,0.22,0.8142493639,0.8056394763,0.829015544,0.8,0.02357142857,0.2,160,33,40,1367
Model A: YOLO + CLIP,0.23,0.8153846154,0.803030303,0.8368421053,0.795,0.02214285714,0.205,159,31,41,1369
Model A: YOLO + CLIP,0.24,0.8134715026,0.7961460446,0.8440860215,0.785,0.02071428571,0.215,157,29,43,1371
Model A: YOLO + CLIP,0.25,0.8155844156,0.7969543147,0.8486486486,0.785,0.02,0.215,157,28,43,1372
Model A: YOLO + CLIP,0.26,0.8125,0.7926829268,0.847826087,0.78,0.02,0.22,156,28,44,1372
Model A: YOLO + CLIP,0.27,0.8062827225,0.784114053,0.8461538462,0.77,0.02,0.23,154,28,46,1372
Model A: YOLO + CLIP,0.28,0.801061008,0.7727737973,0.8531073446,0.755,0.01857142857,0.245,151,26,49,1374
Model A: YOLO + CLIP,0.29,0.7946666667,0.7641025641,0.8514285714,0.745,0.01857142857,0.255,149,26,51,1374
Model A: YOLO + CLIP,0.3,0.7849462366,0.7510288066,0.8488372093,0.73,0.01857142857,0.27,146,26,54,1374
Model A: YOLO + CLIP,0.31,0.7849462366,0.7510288066,0.8488372093,0.73,0.01857142857,0.27,146,26,54,1374
Model A: YOLO + CLIP,0.32,0.7783783784,0.7422680412,0.8470588235,0.72,0.01857142857,0.28,144,26,56,1374
Model A: YOLO + CLIP,0.33,0.7717391304,0.7334710744,0.8452380952,0.71,0.01857142857,0.29,142,26,58,1374
Model A: YOLO + CLIP,0.34,0.7650273224,0.7246376812,0.843373494,0.7,0.01857142857,0.3,140,26,60,1374
Model A: YOLO + CLIP,0.35,0.7569060773,0.7120582121,0.8456790123,0.685,0.01785714286,0.315,137,25,63,1375
Model A: YOLO + CLIP,0.36,0.7415730337,0.690376569,0.8461538462,0.66,0.01714285714,0.34,132,24,68,1376
Model A: YOLO + CLIP,0.37,0.7344632768,0.6813417191,0.8441558442,0.65,0.01714285714,0.35,130,24,70,1376
